direction,route,pattern,length,forward_context_length,samples,metric,median_ms,min_ms,max_ms,sample_stdev_ms,range_percent,material_reduction_ms
forward,0,3,255,255,6,send_ticks,0.0,0.0,16.666666666666668,6.804138174397718,,
forward,0,3,255,255,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,0,3,256,256,6,elapsed_us,2.7925,2.774,2.829,0.019825908974538006,1.9695613249776187,0.139625
forward,0,3,256,256,6,send_ticks,0.0,0.0,0.0,0.0,,
forward,0,3,256,256,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,0,3,257,257,6,elapsed_us,2.803,2.794,2.82,0.010476958846281047,0.9275775954334642,0.14015
forward,0,3,257,257,6,send_ticks,0.0,0.0,16.666666666666668,6.804138174397718,,
forward,0,3,257,257,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,0,3,4095,4095,6,elapsed_us,37.3105,37.298,37.361000000000004,0.022324874019801322,0.16885327186716875,1.8655249999999999
forward,0,3,4095,4095,6,send_ticks,33.333333333333336,33.333333333333336,50.0,8.606629658238706,50.0,33.333333333333336
forward,0,3,4095,4095,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,0,3,4096,4096,6,elapsed_us,37.3275,37.256,37.344,0.03292213034824246,0.2357511218270712,1.8663750000000001
forward,0,3,4096,4096,6,send_ticks,33.333333333333336,33.333333333333336,50.0,8.606629658238706,50.0,33.333333333333336
forward,0,3,4096,4096,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,0,3,4097,4097,6,elapsed_us,37.3185,37.298,37.346000000000004,0.019636700333813723,0.12862253306001045,1.865925
forward,0,3,4097,4097,6,send_ticks,33.333333333333336,33.333333333333336,50.0,6.804138174397718,50.0,33.333333333333336
forward,0,3,4097,4097,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,0,3,32768,32768,6,elapsed_us,295.2395,295.216,295.272,0.02060501557064849,0.01896765168617343,14.761975000000001
forward,0,3,32768,32768,6,send_ticks,300.0,300.0,300.0,0.0,0.0,33.333333333333336
forward,0,3,32768,32768,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,0,3,65535,65535,6,elapsed_us,589.602,589.514,589.765,0.09173748779352238,0.04257109032873023,29.4801
forward,0,3,65535,65535,6,send_ticks,583.3333333333334,583.3333333333334,600.0,8.606629658238706,2.857142857142857,33.333333333333336
forward,0,3,65535,65535,6,reply_ticks,16.666666666666668,0.0,16.666666666666668,8.606629658238706,100.0,33.333333333333336
forward,1,0,0,0,6,elapsed_us,1.869,1.82,1.8880000000000001,0.02368966019173766,3.6383092562867843,0.13600000000000012
forward,1,0,0,0,6,send_ticks,0.0,0.0,0.0,0.0,,
forward,1,0,0,0,6,reply_ticks,0.0,0.0,16.666666666666668,8.606629658238706,,
forward,1,0,1,1,6,elapsed_us,2.1,2.093,2.114,0.008328665359267755,1.0,0.10500000000000001
forward,1,0,1,1,6,send_ticks,0.0,0.0,0.0,0.0,,
forward,1,0,1,1,6,reply_ticks,0.0,0.0,16.666666666666668,6.804138174397718,,
forward,1,0,63,63,6,elapsed_us,4.159,4.155,4.165,0.00433589667773576,0.24044241404183697,0.20795
forward,1,0,63,63,6,send_ticks,0.0,0.0,16.666666666666668,6.804138174397718,,
forward,1,0,63,63,6,reply_ticks,0.0,0.0,16.666666666666668,6.804138174397718,,
forward,1,0,64,64,6,elapsed_us,4.196,4.186,4.202,0.0072571803523590805,0.3813155386081983,0.2098
forward,1,0,64,64,6,send_ticks,0.0,0.0,16.666666666666668,6.804138174397718,,
forward,1,0,64,64,6,reply_ticks,0.0,0.0,16.666666666666668,6.804138174397718,,
forward,1,0,65,65,6,elapsed_us,5.014,5.014,5.026,0.004833908011812665,0.23932987634623054,0.25070000000000003
forward,1,0,65,65,6,send_ticks,0.0,0.0,16.666666666666668,8.606629658238706,,
forward,1,0,65,65,6,reply_ticks,0.0,0.0,16.666666666666668,6.804138174397718,,
forward,1,0,255,255,6,elapsed_us,11.036,11.026,11.040000000000001,0.0057503623074260865,0.12685755708590069,0.5518
